,id,Genre,Track,Artist,valence,energy,danceability,key,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,popularity,audio,energy_standard,valence_standard
1626,4QeBlVCl2KzUEcQZiuskRd,hip-hop,Sway (feat. Quavo & Lil Yachty),NexXthursday,0.296,0.513,0.8959999999999999,8,-6.542000000000001,0.1989999999999999,0.1119999999999999,0.0,0.104,133.97299999999998,244093,50,https://p.scdn.co/mp3-preview/29e294e60bb4cc19c60b5dd2e356b58b04aeeee9?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.5934929465600726,-0.733666931045376
1625,4OO2lavE7yz5Ane6fEYXp3,trip-hop,Everything You Do Is A Balloon,Boards of Canada,0.0875,0.385,0.54,7,-13.819,0.0435,0.105,0.916,0.1009999999999999,91.041,423933,50,https://p.scdn.co/mp3-preview/5c0ca34b2e68ac13dd8e55b30f187ebaab07473d?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.103005948750274,-1.5087263778218882
1624,5dHTF27CQvA7ktMvytr0Qc,honky-tonk,Write This Down,George Strait,0.7020000000000001,0.782,0.713,3,-4.597,0.0267,0.158,5.55e-06,0.26,123.89,213306,50,0,0.47728047210527247,0.7755615360590086
1623,6T88yq0DaaC1ctDsHw620y,progressive-house,Wasting Moonlight,Sick Individuals,0.317,0.898,0.475,2,-5.41,0.0419,0.00507,0.0244,0.672,128.145,204375,50,https://p.scdn.co/mp3-preview/0900dc2a1f018857925d8d76dd59e7d5b66761d0?cid=b39a670615f14cfca30a8178b3bc3ed6,0.9390266303401424,-0.6556033896434249
1622,7nduF0mP1S9t8cHJ2f5XOC,new-age,Jake's first flight,Various Artists,0.0386,0.19,0.1939999999999999,9,-24.078000000000003,0.0434,0.32,0.246,0.0737,103.604,289960,50,https://p.scdn.co/mp3-preview/c5fdbfd047a17ecef039ea2aa0a6c55de857b750?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.8792171630244088,-1.690502909943574
1621,0Zj3Ihs4nn3G3xZ2LKLEbP,disney,Sally's Song,Various Artists,0.113,0.113,0.268,0,-19.601,0.0383,0.952,0.000389,0.191,111.801,107666,50,0,-2.185721078404452,-1.413934934690948
1620,4EiLHuUSKTlaGmdR17J2tc,guitar,Nearly Lost You,Various Artists,0.481,0.908,0.192,7,-9.127,0.072,3.37e-05,0.000162,0.2789999999999999,201.254,246226,50,https://p.scdn.co/mp3-preview/ae6533462f9b8399233fca8425234638027e405e?cid=b39a670615f14cfca30a8178b3bc3ed6,0.9788323336362519,-0.045964304409141746
1619,1mp5PVgUpnHflPu9URvsCk,german,Tanz der Moleküle - Single Version,Mia.,0.888,0.635,0.7509999999999999,11,-5.952999999999999,0.0339,0.26,0.0361,0.0789,126.049,238480,50,https://p.scdn.co/mp3-preview/cfa4d3a8eb72a660fc565e9e0eef33f73138bd42?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.10786336634753695,1.4669814741905736
1617,7yyTZAgwQUy1a5kDjQJJNN,soundtracks,"Poor Unfortunate Souls - From ""The Little Mermaid"" / Soundtrack Version",Various Artists,0.362,0.171,0.3879999999999999,0,-17.924,0.106,0.7709999999999999,0.0,0.369,79.78,291693,50,0,-1.9548479992870167,-0.4883243723535302
1628,2H2Ul6Non4ZwDNoE3nhBwO,heavy-metal,"Raise Your Fist, Evangelist",Powerwolf,0.27,0.861,0.321,9,-3.671,0.0511,0.000122,5.25e-06,0.307,112.045,239813,50,https://p.scdn.co/mp3-preview/d40e641ba2e4a2329d076ca20d876ffb0d48ad50?cid=b39a670615f14cfca30a8178b3bc3ed6,0.7917455281445372,-0.8303170299239817
1616,0AQlQOvoFhRJLPC1KwbKB7,electronic,Find Tomorrow (Ocarina) (feat. Wolfpack & Katy B) - Radio Edit,Dimitri Vegas & Like Mike,0.384,0.853,0.665,0,-4.851,0.0331,0.055,0.0016899999999999,0.2769999999999999,129.946,188466,50,0,0.7599009655076496,-0.4065435194562482
1615,6qpaTfe6rCl55xEPT4F7Hp,electronic,Power Glove,Knife Party,0.38,0.953,0.674,1,-2.895,0.0835,0.000105,0.151,0.498,127.977,261244,50,https://p.scdn.co/mp3-preview/7c0ea2b1b0b93af9b546cf68cb982468d9b7807f?cid=b39a670615f14cfca30a8178b3bc3ed6,1.1579579984687443,-0.4214127654375722
1614,0ieS2bue78yadTdPiyzsaO,soul,Love Of My Life (An Ode To Hip Hop) - Longer Album Version,Common,0.462,0.413,0.618,5,-9.311,0.3979999999999999,0.134,0.000338,0.0913,87.412,337573,50,0,-0.9915499795211675,-0.11659322282043051
1613,4uicyqoy9VwvWzxu5nbyDc,emo,Calling All Skeletons,Alkaline Trio,0.531,0.944,0.575,7,-3.377,0.0784,0.00343,1.62e-06,0.318,130.009,198786,50,https://p.scdn.co/mp3-preview/d490492dd4d7e69ac5700aefd9ff8f9d821777e7?cid=b39a670615f14cfca30a8178b3bc3ed6,1.1221328655022458,0.13990127035740818
1612,2MrvoOqj007UVWUtGcCK0F,synth-pop,Born To Die,Lana Del Rey,0.39,0.636,0.18,4,-6.591,0.0439,0.209,0.000133,0.217,75.223,286253,50,0,-0.103882796017926,-0.38423965048426223
1611,7pJH3YXNRUvq0ctKirL13A,cantopop,人非草木,Kary Ng,0.415,0.4679999999999999,0.5489999999999999,0,-7.895,0.0289,0.596,0.0,0.127,118.018,267586,50,0,-0.7726186113925656,-0.29130686310098747
1648,0y0QpmcF1G3F79rjk3fjUx,disco,Boogie Oogie Oogie - Single Version 2 / Remastered 1999,A Taste Of Honey,0.91,0.522,0.835,2,-10.828,0.0916,0.0991,0.0018399999999999,0.111,123.934,338133,50,0,-0.557667813593574,1.5487623270878554
1609,0BNyKP5Or3d9XG65zTn7VB,electronic,Hello,Martin Solveig,0.473,0.938,0.6679999999999999,3,-4.2010000000000005,0.032,0.0252,0.0166,0.0429,127.987,281589,50,https://p.scdn.co/mp3-preview/ed53a474b02d7497e911be3251dd24682f705082?cid=b39a670615f14cfca30a8178b3bc3ed6,1.09824944352458,-0.07570279637178974
1627,75sAWnVBYaaYs1mWbB05Qg,jazz,Koop Island Blues,Koop,0.539,0.542,0.5710000000000001,10,-9.033,0.0304,0.727,0.0339,0.373,158.001,272760,50,https://p.scdn.co/mp3-preview/533e9fcfc467d7adb0916b0e65006e90ba73b0be?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.478056407001355,0.16963976232005618
1610,3YPiRYIUFlcQ0aaLGmeswS,acoustic,Sunburn - Deluxe Edition,Ed Sheeran,0.2339999999999999,0.098,0.4639999999999999,10,-12.119000000000002,0.0376,0.865,0.0,0.1009999999999999,78.86399999999999,275882,50,https://p.scdn.co/mp3-preview/70cf70bb82b5bb85aaa0b1f160cd140ad5d9a6d3?cid=b39a670615f14cfca30a8178b3bc3ed6,-2.245429633348616,-0.964140243755898
1629,7nOhijGWNbwBpzmQ6XqLRG,show-tunes,Roxie,Various Artists,0.4639999999999999,0.4029999999999999,0.514,5,-9.377,0.0429,0.481,0.0,0.11,132.683,200293,50,https://p.scdn.co/mp3-preview/6da5e3898732805d0f2ad3ee424b4d9272666afc?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.0313556828172772,-0.10915859982976893
1639,5z89FzQzTQOwSJFlMp6UFd,movies,"The Sacrifice of Faramir (feat. Billy Boyd Performing ""The Edge of Night"")",Various Artists,0.115,0.1159999999999999,0.0881,6,-24.491,0.0385,0.946,0.5670000000000001,0.1169999999999999,83.441,248493,50,https://p.scdn.co/mp3-preview/abb27d103c9b9180bf8e4a2340dcbbb0c72b5d0b?cid=b39a670615f14cfca30a8178b3bc3ed6,-2.1737793674156194,-1.406500311700286
1630,2qfR91VvO7hRp4IajDT08h,hip-hop,Dip (feat. Nicki Minaj),Tyga,0.43,0.5429999999999999,0.885,2,-6.337999999999999,0.2,0.0311,0.0,0.154,99.026,195991,50,https://p.scdn.co/mp3-preview/16e63114e7f8d70f3ae715819b56daebaade686f?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.47407583667174447,-0.23554719067102248
1646,1DTuA87dyw72Sn9bldhp2z,hip-hop,Nobody Move,Eazy-E,0.7140000000000001,0.747,0.91,6,-4.814,0.254,0.0113,0.0,0.123,90.163,287413,50,0,0.33796051056888915,0.8201692740029806
1645,6bBs2Ws2YfdSlT3gNC2ZN0,mandopop,記得,A-Mei Chang,0.306,0.336,0.4,11,-9.378,0.0334,0.903,0.0,0.206,60.455,286239,50,https://p.scdn.co/mp3-preview/bc902f009b24f5846314b2f8099c3a96dca480f2?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.2980538949012104,-0.696493816092066
1644,4N5TCcb3z1emeqmg5JCCI3,romance,Wings,Birdy,0.2239999999999999,0.7070000000000001,0.474,7,-4.534,0.0253,0.0831,0.0,0.162,83.235,252106,50,https://p.scdn.co/mp3-preview/e2b4d97d84a8d715afc9e0c397f22723a7d1648a?cid=b39a670615f14cfca30a8178b3bc3ed6,0.17873769738445155,-1.001313358709208
1643,1ZetCeq3ZOSD2k64UNEBqf,samba,Acabou Chorare,Novos Baianos,0.357,0.181,0.725,6,-13.824000000000002,0.0411,0.947,0.00387,0.111,111.122,253173,50,https://p.scdn.co/mp3-preview/467512c95759ad524361de4425779abf361bc2c5?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.9150422959909073,-0.5069109298301852
1642,6z0QmvSHYCXkv0OozRxBL5,movies,"Stars and Butterflies - From ""Pride & Prejudice"" Soundtrack",Jean-Yves Thibaudet,0.0392,0.0135,0.178,7,-28.203000000000003,0.046,0.964,0.92,0.1159999999999999,47.37,118986,50,0,-2.5817878262007414,-1.6882725230463755
